vehicle_id,vehicle_model,vehicle_variant,station_id,station_name,timestamp,cycle_time_sec,torque_nm,temperature_c,vibration_rms,pressure_bar,force_n,position_error_mm,voltage_v,current_a,flow_rate_lpm,queue_time_sec,ambient_temperature_c,humidity_pct,shift,production_batch,rework_flag,anomaly_flag,root_cause_station
VEH-08313,Hyundai i20,Sportz,S1,Body Preparation,2026-08-06T19:56:15,66.41,,25.55,0.9134,,467.56,0.2312,,,,11.82,23.39,55.23,Shift_2,BATCH-2026-W32-B,0,0,NONE
VEH-08313,Hyundai i20,Sportz,S2,Underbody Assembly,2026-08-06T19:57:46,57.84,137.36,,0.8963,,472.5,0.2968,,,,14.64,24.51,56.85,Shift_2,BATCH-2026-W32-B,0,0,NONE
VEH-08313,Hyundai i20,Sportz,S3,Suspension and Brake Assembly,2026-08-06T19:59:20,61.6,137.54,,0.9225,5.83,464.38,0.2233,,,,12.21,23.7,56.74,Shift_2,BATCH-2026-W32-B,0,0,NONE
VEH-08313,Hyundai i20,Sportz,S4,Powertrain Installation,2026-08-06T20:00:47,59.05,130.16,23.65,0.8346,,450.76,0.2335,,14.89,,10.22,23.69,54.52,Shift_2,BATCH-2026-W32-B,0,0,NONE
VEH-08313,Hyundai i20,Sportz,S5,Electrical Installation,2026-08-06T20:02:17,61.32,,24.73,,,,0.223,12.58,14.22,,12.05,21.79,59.55,Shift_2,BATCH-2026-W32-B,0,0,NONE
VEH-08313,Hyundai i20,Sportz,S6,Interior Assembly,2026-08-06T20:03:50,57.44,133.09,,,,435.2,0.2614,,,,12.71,22.5,60.72,Shift_2,BATCH-2026-W32-B,0,0,NONE
VEH-08313,Hyundai i20,Sportz,S7,Door and Glass Assembly,2026-08-06T20:05:18,56.26,,,,6.47,454.38,0.3131,,,,9.36,21.73,62.09,Shift_2,BATCH-2026-W32-B,0,0,NONE
VEH-08313,Hyundai i20,Sportz,S8,Wheel and Tyre Assembly,2026-08-06T20:07:00,68.55,131.98,,0.8716,6.2,,0.218,,,,13.78,22.61,58.02,Shift_2,BATCH-2026-W32-B,0,0,NONE
VEH-08313,Hyundai i20,Sportz,S9,Fluid Filling,2026-08-06T20:08:31,58.94,,22.65,,6.21,464.31,,,,8.7,8.79,22.3,58.91,Shift_2,BATCH-2026-W32-B,0,0,NONE
VEH-08313,Hyundai i20,Sportz,S10,Final Inspection,2026-08-06T20:10:06,58.68,137.75,21.03,0.9186,,,0.2668,12.79,14.62,,11.59,22.69,57.02,Shift_2,BATCH-2026-W32-B,0,0,NONE
